[INFO] Tracklet folders on disk: 1427
[INFO] Labels in gt json:        1427
[WARN] Skipping tracklet=100 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1003 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1005 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1008 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1009 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=101 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1023 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1024 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1029 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1036 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1037 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1041 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1046 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1047 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1049 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1061 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1071 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1074 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1076 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1079 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1083 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1086 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1088 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1092 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1095 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1096 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1098 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1099 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1103 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1107 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1108 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1109 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=111 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1111 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1117 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1125 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1129 due to label issue: Jersey number must be non-negative, got: -1
[WARN] Skipping tracklet=1130 due to label issue: Jersey number must be non-negative, got: -1
